id,author,filename,dateexecuted,orderexecuted,exectype,md5sum,description,comments,tag,liquibase,contexts,labels,deployment_id
osint-2025111502-party-effectiveness-trends,intelligence-operative,db-changelog-1.30.xml,2026-01-15 04:00:43.135822,364,EXECUTED,9:e90b3cc562a26253599e50803c2ea928,createView viewName=view_party_effectiveness_trends,"Party Effectiveness Trends View
        
        Intelligence Purpose:
        - Monitor party-level performance metrics over time
        - Track win rates, productivity, and collaboration patterns
        - Identify organizational strengths and ...",,5.0.1,,,8446037746
1.62-create-intelligence-dashboard,stack-specialist,db-changelog-1.62.xml,2026-01-24 15:25:45.219449,547,EXECUTED,9:c2671630b8cd08ff9548f33aa462e612,sql,"Recreate view_riksdagen_intelligence_dashboard (originally from v1.29)
        
        This view aggregates multiple intelligence indicators into a single dashboard.
        It was recreated in v1.40 after being dropped by CASCADE but may be miss...",,5.0.1,,,9264743943
1.63-009-idx-doc-status-reference-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.257867,557,EXECUTED,9:e415ed11432c3259118fd5ca722e96b7,"createIndex indexName=idx_doc_status_reference_fk, tableName=document_status_container","Create index on document_status_container.document_reference_container_0 foreign key.
        Improves JOIN performance with document_reference_container table.",,5.0.1,,,9264743943
fix-forste-vice-talman-1.44-001,intelligence-operative,db-changelog-1.44.xml,2026-01-15 04:00:43.852336,442,EXECUTED,9:b279fddaf24fd37a38406eda28c39814,sqlFile path=view_riksdagen_politician_experience_summary_v1.44.sql,"Fix view_riksdagen_politician_experience_summary to include Förste vice talman
        in the talmansuppdrag role scoring alongside Andre and Tredje vice talman.
        All three Deputy Speaker roles now weighted equally at 750.0.",,5.0.1,,,8446037746
fix-committee-referral-1.45-001,intelligence-operative,db-changelog-1.45.xml,2026-01-15 04:00:43.863264,443,EXECUTED,9:d7ef57d9369d4edbe41fed03e5280238,sqlFile path=view_decision_temporal_trends_v1.45.sql,"Fix view_decision_temporal_trends to include committee_referral_decisions column.
        Pattern: UPPER(chamber) ~~ '%UTSKOTT%' catches 7,049 records previously uncategorized.",,5.0.1,,,8446037746
1414872417007-40,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.46746,40,EXECUTED,9:2924e43a2bfc8ab8ece4c7b7fc886751,createTable tableName=language_content_data,"",,5.0.1,,,8446037746
1.64-intro,performance-engineer,db-changelog-1.64.xml,2026-01-24 15:25:45.345125,579,EXECUTED,9:8d2e9209b45203a7f6c9094a87d6c97e,sql,"Database Changelog v1.64 - Temporal Analysis Performance Indexes (4 Indexes)
        
        PERFORMANCE OPTIMIZATION: Creates 4 missing composite temporal indexes for
        vote_data table to optimize 35 temporal analysis views.
        
     ...",,5.0.1,,,9264743943
2414872417007-317,javersAddColumn,db-changelog-1.22.xml,2026-01-15 04:00:42.216167,307,EXECUTED,9:cadb829cc1c2e0dd2941a93cdd411563,addColumn tableName=jv_commit,"",,5.0.1,,,8446037746
1.51-election-cycle-network-005,intelligence-operative,db-changelog-1.51.xml,2026-01-15 04:00:44.059059,462,EXECUTED,9:a86d07e91e78055147bdadc240506395,createView viewName=view_election_cycle_network_analysis,"REVISED: Enhanced with view_riksdagen_politician_influence_metrics
        
        Framework: Network Analysis (11 supporting views, 3/4 risk rules)
        
        Source Views (COMPREHENSIVE):
        - view_riksdagen_coalition_alignment_matri...",,5.0.1,,,8446037746
1414872417007-129,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.276492,129,EXECUTED,9:f29e2b6f4276458aa0d2337f97c7f320,"addPrimaryKey constraintName=sweden_county_electoral_area_pkey, tableName=sweden_county_electoral_area","",,5.0.1,,,8446037746
1414872417007-71,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.771519,71,EXECUTED,9:d6f00140ffba825b869701ef3f17acc8,createTable tableName=user_account_address,"",,5.0.1,,,8446037746
1414872417007-67,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.734669,67,EXECUTED,9:206e57b2f1ab489aedd5f7f77b76f5e8,createTable tableName=target_profile_content,"",,5.0.1,,,8446037746
1.66-idx-ballot-party-summary,performance-engineer,db-changelog-1.66.xml,2026-01-24 15:25:45.414451,597,EXECUTED,9:839f70ea04095387d3d05244a7ff5a8b,"createIndex indexName=idx_ballot_party_summary_party, tableName=view_riksdagen_vote_data_ballot_party_summary","Index on materialized view for party support queries (after population).
        
        Supports: Coalition evolution analysis
        Expected Impact: 50-80% improvement in party support queries
        
        Prerequisite: Materialized view ...",,5.0.1,,,9264743943
1414872417007-158,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.535505,158,EXECUTED,9:29999cfa40cbc2af86e5e6f41ce1ff4f,"addForeignKeyConstraint baseTableName=assignment_data, constraintName=fk_84o1dcsfeyp1o25nfdpppa7oe, referencedTableName=person_assignment_data","",,5.0.1,,,8446037746
1.34-member-proposals-003,intelligence-analyst,db-changelog-1.34.xml,2026-01-15 04:00:43.413836,388,EXECUTED,9:b13f7b02bfd25a9791548c069dc378de,dropView viewName=view_riksdagen_member_proposals; createView viewName=view_riksdagen_member_proposals,"Fix view_riksdagen_member_proposals - broader document_type filter
        Catches 'mot', 'MOT', 'Motion' variations",,5.0.1,,,8446037746
1414872417007-256,pether,db-changelog-1.4.xml,2026-01-15 04:00:41.49663,256,EXECUTED,9:55cb855446f25c527751dcb9eda7bf1d,dropView viewName=view_riksdagen_committee_decision_type_summary; createView viewName=view_riksdagen_committee_decision_type_summary; dropView viewName=view_riksdagen_committee_decision_type_org_summary; createView viewName=view_riksdagen_committe...,"",,5.0.1,,,8446037746
1414872417007-175,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.689547,175,EXECUTED,9:818f5d9ba52f5b4b7c5e22b7880d5b31,"addForeignKeyConstraint baseTableName=document_activity_data, constraintName=fk_gruc53dqu0smf6s1a0gkelvdm, referencedTableName=document_activity_container","",,5.0.1,,,8446037746
verify-risk-score-evolution-1.41-002,intelligence-operative,db-changelog-1.41.xml,2026-01-15 04:00:43.760167,432,EXECUTED,9:aebf12c8545cfa083ec15d44c1563fb3,sql,"Post-flight verification for view_risk_score_evolution
        
        Checks:
        1. View exists and can be queried
        2. View returns data when vote_data and person_data are populated
        3. Reports row count for monitoring",,5.0.1,,,8446037746
1.55-document-seasonal-quarterly-activity-view,intelligence-operative,db-changelog-1.55.xml,2026-01-21 00:44:39.34552,492,EXECUTED,9:33b75f2117ac0ec9c516453e836bebb2,sql,Add documentation for view_riksdagen_seasonal_quarterly_activity,,5.0.1,,,8952677820
1414872417007-37,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.439679,37,EXECUTED,9:40d45e65bc2539a7d1faf45c6b9af3b2,createTable tableName=domain_portal,"",,5.0.1,,,8446037746
1.59-intro,intelligence-operative,db-changelog-1.59.xml,2026-01-21 00:44:39.512354,508,EXECUTED,9:44d236d76025bc9ab297858107d170df,sql,v1.59 Election Proximity Trend Analysis - Quarterly Q4 Pre-Election Focus,,5.0.1,,,8952677820
intops-2025111101-temporal-momentum,intelligence-ops,db-changelog-1.29.xml,2026-01-15 04:00:42.910676,352,EXECUTED,9:ebb0e4ff417fbb4dc385d74f99df287f,createView viewName=view_riksdagen_party_momentum_analysis,"Temporal Momentum Analysis View
        
        Intelligence Purpose:
        - Detect momentum shifts in party support
        - Identify acceleration/deceleration patterns
        - Calculate moving averages for trend smoothing
        - Measur...",,5.0.1,,,8446037746
1414872417007-52,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.581244,52,EXECUTED,9:96452dd1a3d5f9b7484eee940aa6c845,createTable tableName=portal,"",,5.0.1,,,8446037746
1414872417007-35,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.421438,35,EXECUTED,9:b6f271d72874d68d804fbbcc89bedcaa,createTable tableName=document_reference_data,"",,5.0.1,,,8446037746
fix-crisis-resilience-1.40-001,intelligence-operative,db-changelog-1.40.xml,2026-01-15 04:00:43.728284,428,EXECUTED,9:e34edc89148de2ec4f4766d8cb341105,dropView viewName=view_riksdagen_crisis_resilience_indicators; createView viewName=view_riksdagen_crisis_resilience_indicators,"Fix view_riksdagen_crisis_resilience_indicators to return data
        
        Root Cause: The crisis period detection algorithm had gaps - months between
        1x and 1.5x average were not classified as either crisis or normal periods.
       ...",,5.0.1,,,8446037746
1.53-party-coalition-002,intelligence-operative,db-changelog-1.53.xml,2026-01-21 00:44:39.218961,482,EXECUTED,9:ec3bbe899a38b29840da3ec8c3985238,createView viewName=view_riksdagen_party_coalition_evolution,"Party Coalition Evolution View (2002-2026) - OPTIMIZED & ENHANCED
        
        Framework: Comparative Analysis, Network Analysis
        
        OPTIMIZATIONS:
        - Builds on view_riksdagen_vote_data_ballot_party_summary_annual
        -...",,5.0.1,,,8952677820
1414872417007-203,pether,db-changelog-1.1.xml,2026-01-15 04:00:40.93053,203,EXECUTED,9:534ad16ef62ab2164f305d17d8fba21b,"modifyDataType columnName=proposal, tableName=committee_proposal_data","",,5.0.1,,,8446037746
1.35-party-decision-flow-index-002,intelligence-operative,db-changelog-1.35.xml,2026-01-15 04:00:43.472019,397,EXECUTED,9:1de6549e5d2e5b58509674d1ae8a55c6,sql,"Create indexes on base tables for performance optimization of party decision flow queries
        
        Indexes on frequently joined and filtered columns:
        - document_proposal_data.committee (for committee-specific queries)
        - doc...",,5.0.1,,,8446037746
1414872417007-25,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.33052,25,EXECUTED,9:67651a14797870e3d71860f7886fb744,createTable tableName=document_attachment_container,"",,5.0.1,,,8446037746
1414872417007-247,pether,db-changelog-1.2.xml,2026-01-15 04:00:41.33555,247,EXECUTED,9:98d9c264a755b9a836390a08d33878d7,createView viewName=view_riksdagen_vote_data_ballot_party_summary_daily,"",,5.0.1,,,8446037746
1414872417007-109,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.103124,109,EXECUTED,9:9c3886a2a01a213cc0388b42cefa9c31,"addPrimaryKey constraintName=document_status_container_pkey, tableName=document_status_container","",,5.0.1,,,8446037746
1.60-document-election-year-behavioral-patterns-view,intelligence-operative,db-changelog-1.60.xml,2026-01-21 00:44:39.619779,518,EXECUTED,9:103fefb7a2d9d4ce2293f95c2df0b993,sql,Add documentation for view_riksdagen_election_year_behavioral_patterns,,5.0.1,,,8952677820
1414872417007-297,adduseraccountcolumns,db-changelog-1.15.xml,2026-01-15 04:00:42.119076,296,EXECUTED,9:fc729e50a9ac4d8481cfc0e5e615c094,update tableName=user_account,"",,5.0.1,,,8446037746
1.63-003-idx-doc-status-document-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.234989,551,EXECUTED,9:7cfbe9dce8d113bb35d7f2d6022df89d,"createIndex indexName=idx_doc_status_document_fk, tableName=document_status_container","Create index on document_status_container.document_document_status_con_0 foreign key.
        Improves JOIN performance with document_data table.",,5.0.1,,,9264743943
verify-crisis-resilience-1.40-002,intelligence-operative,db-changelog-1.40.xml,2026-01-15 04:00:43.733722,429,EXECUTED,9:1c92d454c7d1820ed9dc736aa6e104b1,sql,"Post-flight verification for view_riksdagen_crisis_resilience_indicators
        
        Checks:
        1. View exists and can be queried
        2. View returns data when vote_data and person_data are populated
        3. Reports row count for ...",,5.0.1,,,8446037746
1414872417007-204,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.483206,331,EXECUTED,9:69f5c89bfe631122c51b8dfe35022fa1,dropView viewName=view_riksdagen_committee_parliament_member_proposal; dropView viewName=view_riksdagen_committee; createView viewName=view_riksdagen_committee; createView viewName=view_riksdagen_committee_parliament_member_proposal; createIndex i...,"",,5.0.1,,,8446037746
1414872417007-273,pether,db-changelog-1.6.xml,2026-01-15 04:00:41.729729,273,EXECUTED,9:b9bc2c08e551503123084c32e2839f50,sql; sql; sql; sql,"",,5.0.1,,,8446037746
1.63-004-idx-doc-status-activity-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.239211,552,EXECUTED,9:50001f6c31aa94ef351be299b3990241,"createIndex indexName=idx_doc_status_activity_fk, tableName=document_status_container","Create index on document_status_container.document_activity_container__0 foreign key.
        Improves JOIN performance with document_activity_container table.",,5.0.1,,,9264743943
verify-ministry-views-1.42-004,intelligence-operative,db-changelog-1.42.xml,2026-01-15 04:00:43.795719,436,EXECUTED,9:5364a65df2b784a3c738ef622c551a7a,sql,"Post-flight verification for all three ministry views
        
        Checks:
        1. Views exist and can be queried (no materialized view error)
        2. Views return data when ministry assignments exist
        3. Reports row counts for mo...",,5.0.1,,,8446037746
create-party-transition-history-view-1.57-001,intelligence-operative,db-changelog-1.57.xml,2026-01-21 00:44:39.445809,501,EXECUTED,9:dc5cb39faeb206f3971c9bcb6f7650bd,createView viewName=view_riksdagen_party_transition_history,"Create view_riksdagen_party_transition_history to track all party changes since 2002.
        
        Purpose: Identify politicians who switched parties while serving as active MPs 
        (status = 'Tjänstgörande riksdagsledamot'). This tracks ...",,5.0.1,,,8952677820
fix-politician-risk-summary-1.37-005,intelligence-operative,db-changelog-1.37.xml,2026-01-15 04:00:43.615784,416,EXECUTED,9:a50ccc76324b132113a20f9eb3fcc4d6,dropView viewName=view_politician_risk_summary; createView viewName=view_politician_risk_summary,"Fix view_politician_risk_summary using direct vote_data aggregation
        
        Root Cause: Dependency on materialized view annual summary creates timing issues
        where data may not exist for specific year calculations.
        
       ...",,5.0.1,,,8446037746
1.63-008-idx-doc-status-proposal-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.254201,556,EXECUTED,9:0b2c38842f380b2e356e3aa5e26f149b,"createIndex indexName=idx_doc_status_proposal_fk, tableName=document_status_container","Create index on document_status_container.document_proposal_document_s_0 foreign key.
        Improves JOIN performance with document_proposal_data table.",,5.0.1,,,9264743943
1414872417007-18,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.266944,18,EXECUTED,9:6906125604ba9910f945c7b07fd92962,createTable tableName=data_element,"",,5.0.1,,,8446037746
1414872417007-76,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.817241,76,EXECUTED,9:bba09af773c137dde53bcec477dc7be1,"addPrimaryKey constraintName=against_proposal_data_pkey, tableName=against_proposal_data","",,5.0.1,,,8446037746
1414872417007-140,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.373736,140,EXECUTED,9:09a05025b9436e9f557c7fac3ab6d6a1,"addPrimaryKey constraintName=target_profile_content_pkey, tableName=target_profile_content","",,5.0.1,,,8446037746
1414872417007-114,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.145703,114,EXECUTED,9:c883a7c469d1ebb67a81bf9e174ab4cf,"addPrimaryKey constraintName=language_data_pkey, tableName=language_data","",,5.0.1,,,8446037746
1414872417007-249,pether,db-changelog-1.2.xml,2026-01-15 04:00:41.357785,249,EXECUTED,9:bc3ce6e9dfc901e50afc2fafa681b95a,createView viewName=view_riksdagen_vote_data_ballot_politician_summary,"",,5.0.1,,,8446037746
1414872417007-92,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.96127,92,EXECUTED,9:dfe68f89fa66095a18d2bb701148737f,"addPrimaryKey constraintName=data_source_content_pkey, tableName=data_source_content","",,5.0.1,,,8446037746
revert-jpa-model-update,pethers,db-changelog-1.26.xml,2026-01-15 04:00:42.757808,343,EXECUTED,9:ee172fa2cfbce95c78e2b983b0b507dc,dropView viewName=view_riksdagen_party; sql; dropView viewName=view_riksdagen_party_document_summary; dropView viewName=view_riksdagen_politician; dropView viewName=view_riksdagen_party_member; createView viewName=view_riksdagen_party_member; crea...,"",,5.0.1,,,8446037746
1414872417007-145,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.416236,145,EXECUTED,9:f0838a94de3419c7ac3df04bd792c658,"addPrimaryKey constraintName=vote_data_pkey, tableName=vote_data","",,5.0.1,,,8446037746
1414872417007-22,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.303533,22,EXECUTED,9:5553ce8a3c28a583d259d7daafa9492f,createTable tableName=document_activity_container,"",,5.0.1,,,8446037746
1.55-create-seasonal-quarterly-activity-view,intelligence-operative,db-changelog-1.55.xml,2026-01-21 00:44:39.336862,491,EXECUTED,9:54fb979a48e340a89206c252a0b5277d,createView viewName=view_riksdagen_seasonal_quarterly_activity,"Create view_riksdagen_seasonal_quarterly_activity for quarterly pattern analysis.
            Aggregates Q1-Q4 activity patterns across 24 years (2002-2026) for election cycle analysis.
            Includes baseline calculation for non-election ye...",,5.0.1,,,8952677820
1414872417007-97,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.00134,97,EXECUTED,9:cd6f418a41124aea3c186ee765665519,"addPrimaryKey constraintName=document_attachment_container_pkey, tableName=document_attachment_container","",,5.0.1,,,8446037746
1.52-network,intelligence-operative-analytics,db-changelog-1.52.xml,2026-01-15 04:00:44.163045,475,EXECUTED,9:00b61c34f8f941fbc6e8550c81c067b1,createView viewName=view_election_cycle_network_analysis,"",,5.0.1,,,8446037746
1414872417007-54,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.599861,54,EXECUTED,9:8d843eb1a26a4558446e4be5914dd5fe,createTable tableName=sweden_county_data,"",,5.0.1,,,8446037746
intops-2025111107-politician-risk-idx,intelligence-operative,db-changelog-1.29.xml,2026-01-15 04:00:42.985942,359,EXECUTED,9:cdfed1beeb97276a94e40e00dfde6057,sql,"Performance Indexes for Politician Risk Queries
        
        Indexes on frequently queried columns to support rapid risk assessment
        and dashboard queries.",,5.0.1,,,8446037746
1.52-drop-comparative,intelligence-operative-analytics,db-changelog-1.52.xml,2026-01-15 04:00:44.104001,468,EXECUTED,9:3dae6e62c2c3f45f25b6b2b22e96392b,sql,"",,5.0.1,,,8446037746
fix-ministry-effectiveness-1.39-001,intelligence-operative,db-changelog-1.39.xml,2026-01-15 04:00:43.688335,423,EXECUTED,9:ebd5c2f743b97d91375d1814fed3d0bb,dropView viewName=view_ministry_effectiveness_trends; createView viewName=view_ministry_effectiveness_trends,"Fix view_ministry_effectiveness_trends to return actual ministry data
        
        Root Cause: View filtered by LOWER(org_code) LIKE '%departement%' but actual
        ministry org_codes are short codes (""KN"", ""N"", etc.) that don't contain ""de...",,5.0.1,,,8446037746
2414872417007-325,pether,db-changelog-1.24.xml,2026-01-15 04:00:42.284285,316,EXECUTED,9:a98bd9300cbce790409b1438eb5681ab,dropView viewName=view_riksdagen_party_role_member; createView viewName=view_riksdagen_party_role_member,"",,5.0.1,,,8446037746
1414872417007-15,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.234364,15,EXECUTED,9:0cddcb46baaa15f458ceaa0022e10daf,createTable tableName=committee_proposal_data,"",,5.0.1,,,8446037746
create-pre-election-quarterly-activity-view-1.59-002,intelligence-operative,db-changelog-1.59.xml,2026-01-21 00:44:39.554737,511,EXECUTED,9:e6e770e87bd4189dd4c61160c67042dc,createView viewName=view_riksdagen_pre_election_quarterly_activity,"Create view_riksdagen_pre_election_quarterly_activity to aggregate Q4 activity 
        vs baseline across all politicians.
        
        Purpose: Aggregate-level view showing Q4 activity patterns in pre-election periods 
        compared to ba...",,5.0.1,,,8952677820
1414872417007-45,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.511576,45,EXECUTED,9:2fefd56ec64a6b4c49b1def045d6396a,createTable tableName=person_assignment_element,"",,5.0.1,,,8446037746
1414872417007-330,pether (generated),db-changelog-1.24.xml,2026-01-15 04:00:42.325021,321,EXECUTED,9:5dbf93e01244ac5381aab449179bfee3,"createIndex indexName=application_action_event_created_date_idx, tableName=application_action_event; createIndex indexName=application_action_event_sessionid_idx, tableName=application_action_event; createIndex indexName=application_action_event_e...","",,5.0.1,,,8446037746
1.63-024-idx-person-detail-element-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.31782,572,EXECUTED,9:8f3e3de912d8b2f7698329ca6cc2931f,"createIndex indexName=idx_person_detail_element_fk, tableName=person_detail_element","Create index on person_detail_element.detail_list_person_detail_el_0 foreign key.
        Improves JOIN performance with detail_list table.",,5.0.1,,,9264743943
1414872417007-207,pether,db-changelog-1.1.xml,2026-01-15 04:00:40.960891,207,EXECUTED,9:e518955b8fdd65916aef6f8d2e13a803,createView viewName=view_riksdagen_committee_decisions,"",,5.0.1,,,8446037746
1.52-anomaly,intelligence-operative-analytics,db-changelog-1.52.xml,2026-01-15 04:00:44.13108,471,EXECUTED,9:37c847cea2b1200579026498cd8cc993,createView viewName=view_election_cycle_anomaly_pattern,"",,5.0.1,,,8446037746
1414872417007-208,pether,db-changelog-1.1.xml,2026-01-15 04:00:40.968102,208,EXECUTED,9:b261683ab49f67d5ad404b2cd5d5ec79,createView viewName=view_riksdagen_goverment_proposals,"",,5.0.1,,,8446037746
1.53-drop-coalition-evolution,intelligence-operative,db-changelog-1.53.xml,2026-01-21 00:44:39.192503,481,EXECUTED,9:5cbc544d51f134307f796d9a81375c4c,sql,"",,5.0.1,,,8952677820
osint-2025111500-refresh-materialized-views,intelligence-operative,db-changelog-1.30.xml,2026-01-15 04:00:43.080297,362,EXECUTED,9:28eb73f089cc2b312024e56b87d7dd82,sql,"Refresh Materialized Views for v1.30 Dependencies
        
        Purpose:
        - Populate materialized views required by v1.30 OSINT views
        - Ensure data availability for temporal analysis queries
        - Execute in dependency order ...",,5.0.1,,,8446037746
1414872417007-303,deleteUserAccountGoogleMFAColumns,db-changelog-1.18.xml,2026-01-15 04:00:42.145484,299,EXECUTED,9:1c6f160cd4532f7df63c6b6691d384dc,"dropForeignKeyConstraint baseTableName=USER_ACCOUNT_GOOGLE_AUTH_SCR_0, constraintName=fk_8931ymg13vy6vfkrichdsd4; dropPrimaryKey constraintName=USER_ACCOUNT_GOOGLE_AUTH_SCR_0_pkey, tableName=USER_ACCOUNT_GOOGLE_AUTH_SCR_0; dropTable tableName=USER...","",,5.0.1,,,8446037746
1.63-016-idx-assignment-element-uppdrag-fk,performance-engineer,db-changelog-1.63.xml,2026-01-24 15:25:45.284234,564,EXECUTED,9:3a3620cfb87f61b5328b72e15188ed16,"createIndex indexName=idx_assignment_element_uppdrag_fk, tableName=assignment_element","Create index on assignment_element.uppdrag_person_assignment_el_0 foreign key.
        Improves JOIN performance with uppdrag table.",,5.0.1,,,9264743943
1414872417007-259,pether,db-changelog-1.5.xml,2026-01-15 04:00:41.527142,259,EXECUTED,9:b574f8e847319078c295ab00b9db075a,dropView viewName=view_riksdagen_committee_decision_type_summary; createView viewName=view_riksdagen_committee_decision_type_summary; dropView viewName=view_riksdagen_committee_decision_type_org_summary; createView viewName=view_riksdagen_committe...,"",,5.0.1,,,8446037746
1.69-004-materialize-politician_behavioral_trends,performance-engineer,db-changelog-1.69.xml,2026-01-24 15:25:45.530243,625,EXECUTED,9:4c40067a44abb66c46a17ea068bec690,sql,"Convert view_politician_behavioral_trends to MATERIALIZED VIEW for 35% performance improvement.
        
        Issue: 7 window functions with LAG and 3-month moving averages
        Current: 4 seconds
        Target: 2.6 seconds
        Refresh:...",,5.0.1,,,9264743943
1416258476613-211,pether (generated),db-changelog-1.1.xml,2026-01-15 04:00:40.98923,211,EXECUTED,9:908f681226f2fb5abe4b199126d26a6b,createTable tableName=document_proposal_data,"",,5.0.1,,,8446037746
1414872417007-169,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.632635,169,EXECUTED,9:8ddf896e49f7932380e5ef7471892039,"addForeignKeyConstraint baseTableName=sweden_political_party, constraintName=fk_c2f4dhdce9p61sg50rnww73c1, referencedTableName=sweden_election_region","",,5.0.1,,,8446037746
1414872417007-1,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.077567,1,EXECUTED,9:a17731710305111df20dcfac7e5b1160,createSequence sequenceName=hibernate_sequence,"",,5.0.1,,,8446037746
1414872417007-3,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.102215,3,EXECUTED,9:3b16d9891a4d1d8ea22473bc46c7853c,createTable tableName=against_proposal_data,"",,5.0.1,,,8446037746
fix-ministry-effectiveness-trends-matview-1.42-002,intelligence-operative,db-changelog-1.42.xml,2026-01-15 04:00:43.78003,434,EXECUTED,9:c312343fc7c7e60a7228cf621f2ef36c,dropView viewName=view_ministry_effectiveness_trends; createView viewName=view_ministry_effectiveness_trends,"Fix view_ministry_effectiveness_trends by removing materialized view dependency
        
        Root Cause: The view uses LEFT JOIN on view_riksdagen_politician_document
        (materialized view). Even with LEFT JOIN, PostgreSQL cannot execute ...",,5.0.1,,,8446037746
1414872417007-107,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.087484,107,EXECUTED,9:624552adc8948bf35b58b1d9ef3a543a,"addPrimaryKey constraintName=document_reference_container_pkey, tableName=document_reference_container","",,5.0.1,,,8446037746
1414872417007-80,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.854602,80,EXECUTED,9:e40121efa7c2cb31c5579a83867222b9,"addPrimaryKey constraintName=application_action_event_pkey, tableName=application_action_event","",,5.0.1,,,8446037746
1414872417007-209,pether,db-changelog-1.1.xml,2026-01-15 04:00:40.975216,209,EXECUTED,9:a14b26657c5b09346ccfe984cc94d11d,createView viewName=view_riksdagen_member_proposals,"",,5.0.1,,,8446037746
fix-politician-influence-1.38-003,intelligence-operative,db-changelog-1.38.xml,2026-01-15 04:00:43.64793,419,EXECUTED,9:70aeb6db83f75b0e0f7fa78095c4b9d0,dropView viewName=view_riksdagen_politician_influence_metrics; createView viewName=view_riksdagen_politician_influence_metrics,"Fix view_riksdagen_politician_influence_metrics with expanded parameters
        
        Root Cause: 1-year date filter with 20-vote minimum threshold is too restrictive,
        filtering out meaningful network connections and influence patterns...",,5.0.1,,,8446037746
1414872417007-66,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.726525,66,EXECUTED,9:39166b5937a6de6e1e119be89a5768d4,createTable tableName=sweden_political_party,"",,5.0.1,,,8446037746
document-ministry-troubleshooting-1.32-006,intelligence-analyst,db-changelog-1.32.xml,2026-01-15 04:00:43.334419,377,EXECUTED,9:11eae01f4f5f0d419aacbe440d4b60f3,sql,"Document Ministry View Troubleshooting
        
        This changeset provides documentation for TROUBLESHOOTING_EMPTY_VIEWS.md
        specific to ministry views created in v1.31.
        
        Ministry Views Fixed in v1.32:
        1. view_r...",,5.0.1,,,8446037746
1414872417007-165,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:40.598159,165,EXECUTED,9:f030785453270c20bfdb38ca4dc425ee,"addForeignKeyConstraint baseTableName=domain_portal, constraintName=fk_9ln0n5axxjuxtbpepyad69rel, referencedTableName=portal","",,5.0.1,,,8446037746
intops-2025111104-influence-metrics,intelligence-ops,db-changelog-1.29.xml,2026-01-15 04:00:42.943675,355,EXECUTED,9:c2da8e7169d2c6c0358e4217462d4d7b,createView viewName=view_riksdagen_politician_influence_metrics,"Politician Influence Network Metrics
        
        Intelligence Purpose:
        - Calculate basic network centrality measures
        - Identify key brokers and connectors
        - Map informal influence beyond formal roles
        - Detect p...",,5.0.1,,,8446037746
1736000000000-1,import-error-fix,db-changelog-1.36.xml,2026-01-15 04:00:43.555762,409,EXECUTED,9:1b1abcc812870fd0d7432002253e45f6,"modifyDataType columnName=note, tableName=document_element",Increase document_element.note from VARCHAR(8192) to VARCHAR(65536) to accommodate long EU committee notes with HTML lists,,5.0.1,,,8446037746
1414872417007-42,pether (generated),db-changelog-1.0.xml,2026-01-15 04:00:39.485606,42,EXECUTED,9:79ef7742f91be7455bd9dfa79657131b,createTable tableName=operational_information_cont_0,"",,5.0.1,,,8446037746
