hjid,id,indicator_name,source_id,source_value,source_note,source_organization,topics_indicator_element_hjid,indicator__indicators_elemen_0
58875,BAR.TER.SCHL.25UP,"Barro-Lee: Average years of tertiary schooling, age 25+, total",12,Education Statistics,"Average years of tertiary schooling, 25+, total is the average years of tertiary education completed among people over age 25.",Robert J. Barro and Jong-Wha Lee: http://www.barrolee.com/,58876,
1288580,per_sa_sf.avt_q2_totfr,Average per capita transfer held by 2nd quintile - School Feeding Programs -female-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1288581,
64660,DPANUSSPF,"Exchange rate, old LCU per USD extended forward, period average",15,Global Economic Monitor,"Local currency units (LCU) per U.S. dollar, with values after a new currency's introduction presented in the old currency's terms",World Bank staff calculations based on Datastream and IMF International Finance Statistics data.,64661,
1287841,per_sa_os.bry_q4_urb,Beneficiary incidence in 4th quintile (%) - Other Social Assistance -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of program beneficiaries in a quintile relative to the total number of beneficiaries in the population,ASPIRE,1287842,
1281778,PER.TER.HH.TEXT,World Bank: Household spending per student on textbooks for tertiary education (USD or local currency),12,Education Statistics,"","",1281779,
924428,IC.FRM.OWN.ZS,Largest shareholder ownership (%),11,Africa Development Indicators,Percentage held by largest owner or owners,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).",924429,
64064,DP.DOD.DLIN.CR.M1.PS.CD,"Gross PSD, Total, Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$",20,Quarterly Public Sector Debt,"","",64065,
1269026,LO.PISA.SCI.P75,PISA: Distribution of Science Scores: 75th Percentile Score,12,Education Statistics,"The 75th percentile score is the score below which 75 percent of students scored. Data reflects country performance in the stated year according to PISA reports, but may not be comparable across years or countries. Consult the PISA website for more detailed information: http://www.oecd.org/pisa/",OECD Programme for International Student Assessment (PISA),1269027,
1290524,per_si_ss.avt_q2_totfr,Average per capita transfer held by 2nd quintile-Contributory Ben. other than Pensions-fem-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1290525,
890404,hxpd_some_dfcl_4564,Household health expenditures (% of persons aged 45 to 64 years with some degree of functional difficulty),92,Disability Data Hub (DDH),"","",890405,
156224,DT.TDS.DLTT.CD.CB.AR.0912.US,"Gross Ext. Debt Pmt, Deposit-Taking Corp., exc. CB, More than 9 to 12, Trade credit and advances, Prin. and Int., USD",22,Quarterly External Debt Statistics SDDS,"","",156225,
63146,CPTOTSAXMZGY,"CPI Price, % y-o-y, median weighted, seas. adj.",15,Global Economic Monitor,"Median inflation rate calculated for geographical aggregates (regions, world, etc) of the annual percent change of the CPI. Data is seasonally adjusted.",World Bank staff calculations based on Datastream data.,63147,
66870,DT.DOD.DLXF.CD.NC.US,"Gross Ext. Debt Pos., Nonfinancial corporations, Long-term, All instruments, USD",22,Quarterly External Debt Statistics SDDS,"","",66871,
1294952,SE.CLO.4.LDSEV.S.TMS.2019.3,"Learning Deprivation Severity;TIMSS 2019 for grade 4 using MPL Low (400 points) for science, Third Quintile",12,Education Statistics,"","",1294953,
322727,FB.FCP.DISR.AS.IC.LI,650_Is life insurance among the top-three products complained about to the alternative dispute resolution (ADR) entity?_#VHOA_07,69,Global Financial Inclusion and Consumer Protection Survey,"","",322728,
396096,FB.INC.INST.PA.OD.TP,054_Are other deposit taking institutions (ODTIs) permitted to contract with retail agents as third-party delivery channels?_#VGDD_01,69,Global Financial Inclusion and Consumer Protection Survey,"","",396097,
718157,fin38.39.acc.s,"Received a public sector pension: into an account (% of public sector pension recipients, age 15+)",28,Global Findex database,"","",718158,
1006370,Internet,Has access to the Internet (% age 15+),28,Global Findex database,The percentage of respondents who report having access to the Internet.,Global Findex database,1006371,
258851,EN.ELC.PROD.LOSS.ZS,Electric power transmission and distribution losses (% of output),57,WDI Database Archives,"","",258852,
57429,al_prim_any_dfcl_fem,Female persons with at least primary education (% of female persons with any degree of functional difficulty),92,Disability Data Hub (DDH),"","",57430,
1286425,per_sa_ct.ben_q3_tot,Benefits incidence in 3rd quintile (%) - Unconditional Cash Transfers,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the third quintile  relative to the total benefits going to the population,ASPIRE,1286426,
57046,adj_some_dfcl_seeing_1524,Adjusted prevalence of persons aged 15 to 24 years with some degree of seeing difficulty (% of persons aged 15 to 24 years),92,Disability Data Hub (DDH),"","",57047,
1289184,per_sa_sp.ben_q2_urb,Benefits incidence in 2nd quintile (%) - Social Pensions -urban,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the second quintile  relative to the total benefits going to the population,ASPIRE,1289185,
60195,C4.10a,Average number of bidders per tender for goods contracts,82,Global Public Procurement,"","",60196,
806728,FX.OWN.TOTL.SO.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",2,World Development Indicators,"Account denotes the percentage of respondents who report having an account (by themselves or together with someone else) at a bank or another type of financial institution or report personally using a mobile money service in the past 12 months (secondary education or more, % of population ages 15+).","Global Findex Database, World Bank (WB), uri: https://www.worldbank.org/en/publication/globalfindex",806729,
394705,FB.INC.INST.PA.OD.CA,053_Are other deposit taking institutions (ODTIs) permitted to provide checking or current accounts?_#VGDD_00,69,Global Financial Inclusion and Consumer Protection Survey,"","",394706,
1294374,SE.CLO.3.LDGAP.R.PRL.2001.4,"Learning Deprivation Gap;PIRLS 2001 for grade 3 using MPL Low (400 points) for reading, Fourth Quintile",12,Education Statistics,"","",1294375,
987194,IN.LABR.LFPR.TOTL.PG,LFPR per 1000 for ages 15+ Rural & Urban: Level Degree + Post Graduate,41,Country Partnership Strategy for India (FY2013 - 17),"The labor force participation rate is the percentage of working-age persons in an economy who are employed, or are unemployed but looking for a job. Typically ""working-age persons"" is defined as people between the ages of 16-59. 
The estimates of LFPR in different approaches provide information on the following aspects:
i) number of persons in labour-force - i.e., employed or unemployed-- according to
usual principal status (PS) and according to the principal and subsidiary status (SS) taken together (PS+SS),
People in those age groups who are not counted as participating in the labor force are typically students, homemakers, and persons under the age of 59 who are retired.
","Source: NSS Report NO:531:Employment and Unemployment Situtation in India, July-2007- June 2008, statement no:10.1, Chapter 3
Databook for DCH; 18th December 2013",987195,
1287315,per_sa_ik.ben_q4_tot,Benefits incidence in 4th quintile (%) - In-Kind  ,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the fourth quintile  relative to the total benefits going to the population,ASPIRE,1287316,
62700,con31b.1,"Does not own a smartphone due to data cost, women (% age 15+)",28,Global Findex database,"","",62701,
68146,DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),81, International Debt Statistics: DSSI,Debt stocks rescheduled is the amount of debt outstanding rescheduled in any given year. Data are in current U.S. dollars.,"World Bank, International Debt Statistics.",68147,
1291279,PRJ.ATT.15UP.NED.MF,Wittgenstein Projection: Percentage of the population age 15+ by highest level of educational attainment. No Education. Total,12,Education Statistics,"Share of the population of the stated age group that has never attended school. Projections are based on collected census and survey data for the base year (around 2010) and the Medium Shared Socioeconomic Pathways (SSP2) projection model. The SSP2 is a middle-of-the-road scenario that combines medium fertility with medium mortality, medium migration, and the Global Education Trend (GET) education scenario. For more information and other projection models, consult the Wittgenstein Centre for Demography and Global Human Capital's website: http://www.oeaw.ac.at/vid/dataexplorer/",Wittgenstein Centre for Demography and Global Human Capital: http://www.oeaw.ac.at/vid/dataexplorer/,1291280,
867640,HH.DHS.TR.12.Q3,DHS: Transition rate. Primary to Secondary. Quintile 3,12,Education Statistics,Transition rate. Primary to Secondary. Quintile 3 is the proportion of quintile 3 pupils in the last grade of primary who transition to the first grade of secondary the following school year. Each poverty quintile represents one fifth of students with quintile 1 being the poorest 20 percent of students and quintile 5 being the richest 20 percent of students.,Demographic and Health Surveys (DHS),867641,
1287107,per_sa_ik.adq_q3_rur,Adequacy of benefits in 3rd quintile (%) - In-Kind -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1287108,
1297170,SE.CLO.8.PRF.S.TMS.2019.F,"Above Proficiency;TIMSS 2019 for grade 8 using MPL Low (400 points) for science, Female",12,Education Statistics,"","",1297171,
1283637,per_lm_pa.avt_q5_rur,Average per capita transfer held by 5th quintile (richest) - Passive Labor Market -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"Average transfer amount of  Passive Labor Market programs among program beneficiaries (per capita, daily $ppp)",ASPIRE,1283638,
63816,DP.DOD.DLD2A.CR.CG.Z1,"Gross PSD, Central Gov.-D2A, All maturities, D1+ currency and deposits, Maastricht debt, % of GDP",20,Quarterly Public Sector Debt,"The source of non-seasonally adjusted Gross Domestic Product (GDP) data in national currency, at current prices, is the International Finance Statistics quarterly database of the IMF, annualized by the World Bank, unless otherwise specified.","",63817,
691903,fin32.n33.8,"Received private sector wages, richest 60% (% age 15+)",28,Global Findex database,"","",691904,
832657,GFDD.DM.07,International debt issues to GDP (%),32,Global Financial Development,"Total value of outstanding international debt issues both public and private, as a share of GDP. Offshore bank loan data from BIS Statistical Appendix Table 12A (Amount Outstanding): International debt securities - all issuers.",Bank for International Settlements (BIS),832658,
1291157,PI-26.1,(i) Coverage of internal audit,68,PEFA 2016,"","",1291158,
64372,DP.DOD.DLTC.CR.L1.BC,"Gross PSD, Budgetary Central Gov., Long-term, With payment due in one year or less, All instruments, Nominal Value, National Currency",20,Quarterly Public Sector Debt,"","",64373,
1273930,netu_nosome_dfcl_4564,Persons aged 45 to 64 years using the Internet (% of persons aged 45 to 64 years with none or some degree of functional difficulty),92,Disability Data Hub (DDH),"","",1273931,
1293552,SE.CLO.15Y.LDSEV.R.PS.2000.4,"Learning Deprivation Severity;PISA 2000 for grade 15Y using MPL Level 2 for reading, Fourth Quintile",12,Education Statistics,Learning Deprivation Severity captures the inequality of learning among the learning deprived population and is the gap squared in relation to the minimum proficiency squared.,Education Statistics,1293553,
1261819,LO.EGRA.CLSPM.KII.2GRD,EGRA: Correct Letter Sounds Read Per Minute (Mean). Kiikaonde. 2nd Grade,12,Education Statistics,"Average number of letter sounds that students could read per minute. In this EGRA subtask, assessors present students with a sheet listing between 50 and 100 upper- and lowercase letters of the alphabet (in some languages, graphemes, or sets of letters and/or symbols representing a single sound, are presented). Students are asked to provide the sounds of all the letters that they can in one minute. Users are discouraged from using these data to make direct comparisons across countries or languages. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.",Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,1261820,
1286059,per_sa_cc.bry_q3_preT_totmr,Beneficiary incidence in 3rd quintile (%) - Conditional Cash Transfers (preT) -male-recipient,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1286060,
1282996,per_lm_alllm.adq_ep_tot,Adequacy of benefits in extreme poor (<$2.15 a day) (%) - All Labor Market,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1282997,
1293492,SE.CLO.15Y.LDSEV.M.PS.2015.4,"Learning Deprivation Severity;PISA 2015 for grade 15Y using MPL Level 2 for math, Fourth Quintile",12,Education Statistics,"","",1293493,
63642,DP.DOD.DECT.CR.FC.CD,"Gross PSD, Financial Public Corp., All maturities, All instruments, Nominal Value, US$",20,Quarterly Public Sector Debt,"","",63643,
55934,8.3.17_GHA.LITERACY.P3.WORDS,"Making the Grade Scores in Ghana, P3 Literacy in English, Words per minute (mean)",34,Global Partnership for Education,"Mean score calculated for the results of the national assessment carried out in the specific subject and grade, as reported by the Local Education Group (LEG). Country-specific definition and method are determined by the country. ","Data were collected from national and other publicly available sources, and validated by the Local Education Group (LEG) in each country. LEGs are typically led by the Ministry of Education and include development partners and other education stakeholders. Data were not processed or analyzed by the Global Partnership for Education. It is reported as it was presented in the original sources, or as it was communicated to us through the Coordinating Agency or Lead Donor of the LEG.",55935,
1294314,SE.CLO.2.LDSEV.R.PSC.2014.R,"Learning Deprivation Severity;PASEC 2014 for grade 2 using MPL 4 for reading, Rural",12,Education Statistics,"","",1294315,
1277608,NY.GNY.PCAP.KD,Gross national income per capita (1987 USD),57,WDI Database Archives,"","",1277609,
1282875,per_lm_ac.cba_q1_tot,Benefit-cost ratio -  Active Labor Market  -1st quintile (poorest),29,The Atlas of Social Protection: Indicators of Resilience and Equity,Poverty gap reduction obtained for each $1 spent in Active Labor Market programs (%),ASPIRE,1282876,
1293386,SE.CLO.15Y.LDGAP.S.PSD.2017.1,"Learning Deprivation Gap;PISA-D 2017 for grade 15Y using  for science, First Quintile",12,Education Statistics,"","",1293387,
1293716,SE.CLO.15Y.LDSEV.S.PS.2006.A,Learning Deprivation Severity;PISA 2006 for grade 15Y using MPL Level 2 for science,12,Education Statistics,"","",1293717,
1283080,per_lm_alllm.avt_pop_totf,Average per capita transfer - All Labor Market Programs -female-beneficiary-beneficiary,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1283081,
1296120,SE.CLO.6.LDGAP.S.TMS.2011.3,"Learning Deprivation Gap;TIMSS 2011 for grade 6 using MPL Low (400 points) for science, Third Quintile",12,Education Statistics,"","",1296121,
62372,con2e.2,"No mobile phone due to family or community disapproval, men (% age 15+)",28,Global Findex database,"","",62373,
66291,DT.DOD.DLBN.CD.GG.AR.EX.US,"Gross Ext. Debt Pos., General Government, Long-term, Debt securities, Exchange rate chg, USD",22,Quarterly External Debt Statistics SDDS,"","",66292,
67556,DT.DOD.DSUN.CD.GG.AR.NE.US,"Net Ext. Debt Position, General Government, Short-term, Unallocated gold accounts included in monetary gold, USD",22,Quarterly External Debt Statistics SDDS,"","",67557,
1229016,JI.TLF.35BL.TM.HE.ZS,"Underemployment, less than 35 hours per week, aged 15-64, above primary education (% of employed population with high education in working age)",86,Global Jobs Indicators Database (JOIN),"","",1229017,
1002207,IN.TRANSPORT.RD.URBN.WBM.SURFACE,"Urban Roads, W.B.M. surface (KMs)",41,Country Partnership Strategy for India (FY2013 - 17),"","",1002208,
644420,fin24c.1,"Experienced a natural disaster or severe weather event, women (% age 15+)",14,Gender Statistics,"The percentage of respondents who report they personally experienced a natural disaster or severe weather event in the past three years, women (% age 15+)",Global Findex Database,644421,
1273394,NE.GDI.TOTL.KN,Gross capital formation (constant LCU),2,World Development Indicators,"Gross capital formation includes acquisitions less disposals of produced assets for purposes of fixed capital formation, inventories or valuables. This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment varies by country. This series is expressed in local currency units.","Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)",1273395,
56758,adj_al_alot_dfcl_seeing_urb,Adjusted prevalence of persons living in urban areas with visual disabilities i.e. at least a lot of functional difficulty (% of persons living in urban areas),92,Disability Data Hub (DDH),"","",56759,
1039120,IT.MLT.BSUB.CD,Business telephone monthly subscription (current US$),11,Africa Development Indicators,"Please cite the International Telecommunication Union for third-party use of these data.  Monthly subscription refers to the recurring fixed charge for subscribing to the PSTN in US$.  The charge should cover the rental of the line but not the rental of the terminal (e.g., telephone set) where the terminal equipment market is liberalized. Separate charges should be stated where appropriate, for first and subsequent lines. If the rental charge includes any allowance for free or reduced rate call units, this should be indicated. If there are different charges for different exchange areas, the largest urban area should be used and specified in a note. This indicator is expressed in US dollars. ","International Telecommunication Union, World Telecommunication Development Report and database, and World Bank estimates.",1039121,
1286729,per_sa_fw.adq_q4_rur,Adequacy of benefits in 4th quintile (%) - Subsidies -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Total transfer amount received by all beneficiaries in a population group as a share of the total welfare of beneficiaries in that group,ASPIRE,1286730,
64208,DP.DOD.DLOA.CR.L1.CG,"Gross PSD, Central Gov., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, National Currency",20,Quarterly Public Sector Debt,"","",64209,
1280498,PER.JR.SOR.GOV,World Bank: Share of junior secondary education expenditures from government sources (%),12,Education Statistics,"","",1280499,
66818,DT.DOD.DLXF.CD.GG.AR.EA.US,"Ext. Assets in Debt Instruments, General Government, Long-term, All instruments, USD",22,Quarterly External Debt Statistics SDDS,"","",66819,
1291309,PRJ.ATT.2024.4.MF,Wittgenstein Projection: Percentage of the population age 20-24 by highest level of educational attainment. Post Secondary. Total,12,Education Statistics,"Share of the population of the stated age group that has completed post-secondary or tertiary education as the highest level of educational attainment. Projections are based on collected census and survey data for the base year (around 2010) and the Medium Shared Socioeconomic Pathways (SSP2) projection model. The SSP2 is a middle-of-the-road scenario that combines medium fertility with medium mortality, medium migration, and the Global Education Trend (GET) education scenario. For more information and other projection models, consult the Wittgenstein Centre for Demography and Global Human Capital's website: http://www.oeaw.ac.at/vid/dataexplorer/",Wittgenstein Centre for Demography and Global Human Capital: http://www.oeaw.ac.at/vid/dataexplorer/,1291310,
62640,con30g.s,"Accessed government services/info online in past three months (% internet users, age 15+)",28,Global Findex database,"","",62641,
1292156,ROD.DIST.DIRT.KM,"Length of District Road: Dirt (in km) (BPS Data, Province only)",45,Indonesia Database for Policy and Economic Research,"",BADAN PUSAT STATISTIK - Statistics Indonesia,1292157,
1289214,per_sa_sp.ben_q5_rur,Benefits incidence in 5th quintile (richest) (%) - Social Pensions -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Percentage of benefits going to the richestquintile  relative to the total benefits going to the population,ASPIRE,1289215,
1283478,per_lm_alllm_p0_rur,Poverty Headcount reduction (%) -  All Labor Market  -1st quintile (poorest) -rural,29,The Atlas of Social Protection: Indicators of Resilience and Equity,Poverty headcount reduction due to Labor Market programs as % of pre-transfer poverty headcount,ASPIRE,1283479,
65162,DT.AMT.DLTO.CD.OT.AR.03.US,"Gross Ext. Debt Pmt, Other Sectors, More than 0 to 3, Other debt liabilities, Principal, USD",22,Quarterly External Debt Statistics SDDS,"","",65163,
826281,GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue),2,World Development Indicators,"General taxes on goods and services are taxes levied on the production, leasing, delivery, sale, purchase or other change of ownership of a wide range of goods and the provision of a wide range of services. This indicator is expressed as a percentage of revenue which includes all transactions that add to the amount of economic value of a unit or sector.","Government Finance Statistics Yearbook and data files, International Monetary Fund (IMF)",826282,
56311,9.1.Unpaid.All,"Unpaid Workers (%), Male",37,LAC Equity Lab,Share of the male labor force (ages 18-65) that works without pay,LAC Equity Lab tabulations of SEDLAC (CEDLAS and the World Bank).,56312,
1297110,SE.CLO.8.PRF.S.TMS.2007.F,"Above Proficiency;TIMSS 2007 for grade 8 using MPL Low (400 points) for science, Female",12,Education Statistics,"","",1297111,
837099,GV.GOVT.EF.SE,Government Effectiveness (standard error),11,Africa Development Indicators,"See definition GV.GOVT.EF.ES. Inherent to all Governance Indicators is a margin of error, which might vary from country to country, normally attributable to two factors: (i) cross-country differences in the number of sources in which a country appears, and (ii) differences in the precision of the sources in which each country appears.  ",World Bank Institute.,837100,
1291821,PRJ.POP.ALL.NED.MA,Wittgenstein Projection: Population in thousands by highest level of educational attainment. No Education. Male,12,Education Statistics,"Total population in thousands that has never attended school. Projections are based on collected census and survey data for the base year (around 2010) and the Medium Shared Socioeconomic Pathways (SSP2) projection model. The SSP2 is a middle-of-the-road scenario that combines medium fertility with medium mortality, medium migration, and the Global Education Trend (GET) education scenario. For more information and other projection models, consult the Wittgenstein Centre for Demography and Global Human Capital's website: http://www.oeaw.ac.at/vid/dataexplorer/",Wittgenstein Centre for Demography and Global Human Capital: http://www.oeaw.ac.at/vid/dataexplorer/,1291822,
851559,HF.STA.BPHT.ZS,High blood pressure or being treated for high blood pressure (% of adult population),65,Health Equity and Financial Protection Indicators,Percentage of adult population with high blood pressure or on treatment for high blood pressure (age-range may vary),"Health Equity and Financial Protection Indicators (HEFPI) database, World Bank",851560,
1291035,PI-13,Debt management,68,PEFA 2016,"","",1291036,
829593,GCI.RANK.XQ,Global Competitive Index (GCI) rank,11,Africa Development Indicators,"""This ranks each country for The Global Competitiveness Index (GCI).  The 2006–2007 rank is out of 125 countries. 
  The 2007–2008 rank is out of 131 countries.  The 2008–2009 rank is out of 134 countries.  The 2009–2010 rank is out of 133 countries.""",The Global Competitiveness Report: various issues (http://gcr.weforum.org/).,829594,
57619,any_dfcl_1529,Prevalence of persons aged 15 to 29 years with any degree of functional difficulties (% of persons aged 15 to 29 years),92,Disability Data Hub (DDH),"","",57620,
1291043,PI-14,Macroeconomic and fiscal forecasting,68,PEFA 2016,"","",1291044,
1278364,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",2,World Development Indicators,Official exchange rate refers to the exchange rate determined by national authorities or to the rate determined in the legally sanctioned exchange market. This indicator represents the ratio of Local Currency Units relative to United States dollars.This indicator is derived as an average over the reference period.,"International Financial Statistics database, International Monetary Fund (IMF)",1278365,
1296294,SE.CLO.6.LDSEV.R.PSC.2019.U,"Learning Deprivation Severity;PASEC 2019 for grade 6 using MPL 4 for reading, Urban",12,Education Statistics,"","",1296295,
61204,cmpu_al_alot_dfcl_all,Persons using a computer (% of persons with disability i.e. at least a lot of functional difficulty),92,Disability Data Hub (DDH),"","",61205,
60365,CC.COAL.PROD.PR,Annual coal production (Mt per year) - Proposed Projects (Total),87,Country Climate and Development Report (CCDR),"","",60366,
1153277,JI.EMP.SSEC.ZS,"Employed workers with social security, aged 15-64, total (% of total employed population in working age)",86,Global Jobs Indicators Database (JOIN),"","",1153278,
56894,adj_any_dfcl_seeing_2534,Adjusted prevalence of persons aged 25 to 34 years with any degree of seeing difficulty (% of persons aged 25 to 34 years),92,Disability Data Hub (DDH),"","",56895,
1277467,NY.GNP.PCAP.PP.KD.87,"GNP per capita, PPP (constant 1987 international $)",57,WDI Database Archives,"","",1277468,
1264074,LO.EGRA.READ.0.ENG.4GRD,EGRA: Reading Comprehension - Share of students with a zero score (%). English. 4th Grade,12,Education Statistics,Share of students who scored zero percent on the reading comprehension assessment. The reading comprehension subtask follows the oral reading fluency subtask; students are required to respond to literal and inferential questions about the oral reading fluency subtask text they have just read. The questions are read aloud to the student by the assessor. Consult the EdData website and the specific country report for more information: www.eddataglobal.org.,Early Grade Reading Assessment (EGRA): https://www.eddataglobal.org/reading/,1264075,
1266639,LO.PASEC.REA.2.MA,PASEC: Mean performance on the language scale for 2nd grade students. Male,12,Education Statistics,Average score of male Grade 2 students on the PASEC language scale. PASEC performance scales have an international average of 500 points and a standard deviation of 100 points with all countries being given equal weighting. Data were published for this indicator beginning with PASEC 2014. Consult the PASEC website for more detailed information: http://www.pasec.confemen.org/,Programme d'Analyse des Systèmes Educatifs de la CONFEMEN/Program for the Analysis of CONFEMEN Education Systems (PASEC): http://www.pasec.confemen.org/,1266640,
1287422,per_sa_ik.bry_q4_totmr,Beneficiary incidence in 4th quintile (%) - In-Kind and Food Transfers -male-recipient of programs,29,The Atlas of Social Protection: Indicators of Resilience and Equity,"","",1287423,
1243235,JI.UEM.1564.ZS,"Unemployment rate, aged 15-64, total (% of total labor force in working age)",86,Global Jobs Indicators Database (JOIN),"","",1243236,
